Rank,Produto,Preço,URL
170,"Notebook Gamer Acer Nitro V 15 Intel Core i5 13420H RTX 3050 15,6"" 8GB SSD 512GB Linux ANV15-51-57WS4 (10)Menor preço via Fast ShopR$ 4.404,28 0.5% de volta na loja todaCompare entre 6 lojas","R$ 4.404,28",https://www.zoom.com.br/notebook/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-15-6-8gb-ssd-512-gb-linux-geforce-rtx-3050?_lc=88&searchterm=notebook
171,"Notebook Gamer Acer Nitro V 15 Intel Core i5 13420H RTX 3050 15,6"" 8GB SSD 512GB Linux ANV15-51-57WS4 (10)Menor preço via Fast ShopR$ 4.404,28 0.5% de volta na loja todaCompare entre 6 lojas","R$ 4.404,28",https://www.zoom.com.br/notebook/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-15-6-8gb-ssd-512-gb-linux-geforce-rtx-3050?_lc=88&searchterm=notebook
172,Sem título,Sem preço,
173,Sem título,Sem preço,
174,"Notebook Gamer Acer Nitro V 15 Intel Core i5 13420H RTX 3050 15,6"" 8GB SSD 512GB Linux ANV15-51-57WS","R$ 4.404,28",
175,Sem título,Sem preço,
176,"Notebook Gamer Acer Nitro V 15 Intel Core i5 13420H RTX 3050 15,6"" 8GB SSD 512GB Linux ANV15-51-57WS","R$ 4.404,28",
177,"Notebook Gamer Acer Nitro V 15 Intel Core i5 13420H RTX 3050 15,6"" 8GB SSD 512GB Linux ANV15-51-57WS",Sem preço,
178,Sem título,Sem preço,
179,Sem título,Sem preço,
180,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15,6"" 8GB SSD 512GB Windows 11 82X5000GBR4.9 (22)Menor preço via Magazine LuizaR$ 2.321,14até 10x de R$ 269,90
            
          Frete Grátis 8% de volta na loja todaCompare entre 7 lojas","R$ 2.321,14",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-1-82x5000gbr-amd-ryzen-5-7520u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
181,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15,6"" 8GB SSD 512GB Windows 11 82X5000GBR4.9 (22)Menor preço via Magazine LuizaR$ 2.321,14até 10x de R$ 269,90
            
          Frete Grátis 8% de volta na loja todaCompare entre 7 lojas","R$ 2.321,14",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-1-82x5000gbr-amd-ryzen-5-7520u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
182,Sem título,Sem preço,
183,Sem título,Sem preço,
184,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15,6"" 8GB SSD 512GB Windows 11 82X5000GBR","R$ 2.321,14",
185,Sem título,Sem preço,
186,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15,6"" 8GB SSD 512GB Windows 11 82X5000GBR","R$ 2.321,14",
187,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15,6"" 8GB SSD 512GB Windows 11 82X5000GBR",Sem preço,
188,Sem título,Sem preço,
189,Sem título,Sem preço,
